LEVEL,POSITION,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Senior,FRONT-END DEVELOPER,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,12499
Senior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,7499
Senior,CTO,Erkek,E-Ticaret,Geçici Hibrit,yurt_ici,TRY,25499
Senior,SOFTWARE ARCHITECT,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,15499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,35499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,19499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,23499
Middle,FULL STACK DEVELOPER,Erkek,Dijital / Reklam Ajansı,Geçici Remote,yurt_ici,TRY,20499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Geçici Remote,yurt_ici,TRY,22499
Junior,FULL STACK DEVELOPER,Erkek,Diger,Geçici Remote,yurt_ici,TRY,10499
Senior,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,17499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,10499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,14499
Middle,FULL STACK DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,13499
Senior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_disi,USD,46565
Junior,FRONT-END DEVELOPER,Erkek,Oyun,Ofis,yurt_ici,TRY,6499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,USD,46565
Senior,EMBEDDED SOFTWARE DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,15499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,16499
Senior,FRONT-END DEVELOPER,Erkek,Oyun,Hibrit,yurt_ici,TRY,27499
Senior,TEAM / TECH LEAD,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,14499
Senior,TEAM / TECH LEAD,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,32499
Senior,FRONT-END DEVELOPER,Erkek,Fintech / Finans,Remote,yurt_disi,EUR,87605
Junior,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,8499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,55000
Senior,DEVOPS ENGINEER,Erkek,Startup,Hibrit,yurt_ici,TRY,10499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,15499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,E-Ticaret,Geçici Remote,yurt_ici,TRY,10499
Senior,SOFTWARE ARCHITECT,Erkek,E-Ticaret,Hibrit,yurt_ici,TRY,20499
